12:55:42.108 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
12:55:47.280 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
12:55:47.280 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
12:55:47.317 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:55:47.317 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
12:55:57.161 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:55:57.161 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:55:57.188 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
12:55:57.196 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:55:57.870 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
12:55:57.870 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:55:57.894 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
12:55:57.901 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
12:55:58.939 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:55:58.973 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:55:58.974 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
12:55:58.989 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:55:59.723 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:55:59.740 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:55:59.741 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
12:55:59.746 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:56:00.113 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:56:00.138 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
